angle,direction,length,order,shape,color
,forward,100.0,51,box_flower,purple
,forward,150.0,74,twirl,blue
,forward,100.0,63,box_flower,black
135.0,left,,102,flower,brown
123.0,left,,41,twirl,purple
20.0,right,,94,circle,brown
,forward,100.0,33,flower,black
90.0,left,,55,box_flower,black
144.0,right,,47,spiral_star,red
123.0,left,,65,twirl,purple
,forward,100.0,90,flower,black
,forward,100.0,90,box_flower,brown
,forward,150.0,58,twirl,yellow
,forward,100.0,101,flower,black
123.0,left,,55,twirl,yellow
,forward,100.0,33,flower,green
90.0,left,,129,box_flower,yellow
20.0,left,,62,flower,brown
,forward,100.0,38,box_flower,yellow
,forward,100.0,31,flower,blue
20.0,right,,72,circle,yellow
144.0,right,,3,spiral_star,yellow
,forward,150.0,36,twirl,green
,forward,100.0,31,flower,green
,forward,100.0,42,box_flower,black
45.0,left,,1,flower,green
135.0,left,,84,flower,black
45.0,left,,127,flower,red
45.0,left,,95,flower,red
123.0,left,,31,twirl,brown
135.0,left,,16,flower,red
,forward,150.0,44,twirl,blue
,forward,150.0,68,twirl,purple
90.0,left,,142,box_flower,red
123.0,left,,39,twirl,brown
,forward,240.0,48,spiral_star,black
135.0,left,,66,flower,red
,forward,100.0,20,box_flower,blue
,forward,150.0,48,twirl,green
,forward,100.0,155,flower,brown
,forward,100.0,85,box_flower,yellow
,forward,100.0,159,box_flower,purple
,forward,100.0,87,box_flower,green
123.0,left,,67,twirl,purple
,forward,150.0,96,twirl,green
144.0,right,,19,spiral_star,blue
,forward,100.0,36,flower,purple
,forward,150.0,92,twirl,black
,forward,80.0,14,star,purple
,forward,200.0,40,spiral_star,brown
,forward,100.0,13,box_flower,purple
123.0,left,,1,twirl,purple
,forward,100.0,148,box_flower,purple
90.0,left,,158,box_flower,black
,forward,100.0,96,flower,purple
135.0,left,,3,flower,black
20.0,left,,125,box_flower,green
20.0,left,,8,flower,yellow
,forward,25.0,95,circle,purple
123.0,left,,43,twirl,blue
123.0,left,,23,twirl,black
,forward,100.0,87,flower,purple
123.0,left,,43,twirl,green
20.0,right,,86,circle,purple
,forward,330.0,66,spiral_star,green
90.0,left,,97,box_flower,green
,forward,100.0,74,box_flower,red
45.0,left,,55,flower,green
,forward,100.0,81,flower,blue
45.0,left,,64,flower,green
,forward,150.0,38,twirl,blue
,forward,100.0,90,box_flower,green
,forward,0.0,0,spiral_star,blue
,forward,100.0,114,flower,brown
90.0,left,,41,box_flower,purple
,forward,80.0,8,star,black
144.0,right,,29,spiral_star,red
,forward,100.0,18,box_flower,red
,forward,150.0,8,twirl,black
123.0,left,,67,twirl,yellow
,forward,150.0,30,spiral_star,black
90.0,left,,111,box_flower,green
,forward,150.0,74,twirl,yellow
45.0,left,,118,flower,green
,forward,100.0,29,flower,yellow
,forward,150.0,14,twirl,red
135.0,left,,75,flower,blue
,forward,100.0,150,box_flower,black
90.0,left,,102,box_flower,green
,forward,150.0,38,twirl,green
144.0,right,,35,spiral_star,purple
144.0,right,,29,spiral_star,black
123.0,left,,73,twirl,blue
90.0,left,,75,box_flower,yellow
90.0,left,,37,box_flower,purple
90.0,left,,46,box_flower,green
,forward,100.0,0,box_flower,yellow
,forward,150.0,14,twirl,yellow
,forward,100.0,130,box_flower,brown
135.0,left,,129,flower,yellow
45.0,left,,32,flower,green
144.0,right,,43,spiral_star,purple
90.0,left,,23,box_flower,green
123.0,left,,3,twirl,red
,forward,100.0,36,flower,yellow
,forward,100.0,4,box,black
,forward,100.0,150,flower,black
20.0,left,,125,box_flower,black
144.0,right,,1,spiral_star,blue
,forward,100.0,22,flower,purple
,forward,80.0,2,star,blue
,forward,100.0,96,flower,red
123.0,left,,23,twirl,green
,forward,80.0,16,star,blue
,forward,250.0,50,spiral_star,blue
,forward,150.0,4,twirl,green
,forward,100.0,38,box_flower,black
123.0,left,,29,twirl,purple
90.0,left,,149,box_flower,yellow
20.0,right,,82,circle,purple
20.0,left,,116,box_flower,brown
20.0,right,,92,circle,purple
45.0,left,,1,flower,black
123.0,left,,67,twirl,black
,forward,240.0,48,spiral_star,blue
,forward,100.0,112,box_flower,yellow
,forward,100.0,24,box_flower,yellow
144.0,right,,63,spiral_star,black
45.0,left,,113,flower,green
,forward,100.0,51,box_flower,green
,forward,100.0,148,flower,blue
123.0,left,,27,twirl,brown
,forward,300.0,60,spiral_star,blue
135.0,left,,84,flower,blue
90.0,left,,131,box_flower,yellow
45.0,left,,149,flower,red
,forward,70.0,14,spiral_star,black
45.0,left,,154,flower,green
,forward,100.0,4,flower,red
20.0,left,,8,flower,red
20.0,left,,125,flower,blue
,forward,100.0,130,flower,black
135.0,left,,156,flower,blue
,forward,150.0,38,twirl,red
,forward,100.0,4,box,blue
,forward,100.0,4,box_flower,red
123.0,left,,99,twirl,purple
144.0,right,,13,spiral_star,black
20.0,right,,90,circle,black
90.0,left,,97,box_flower,blue
,forward,10.0,2,spiral_star,green
,forward,100.0,31,flower,black
45.0,left,,95,flower,black
,forward,100.0,108,flower,green
135.0,left,,70,flower,black
20.0,right,,106,circle,purple
,forward,100.0,83,box_flower,blue
90.0,left,,68,box_flower,brown
90.0,left,,131,box_flower,purple
144.0,right,,1,spiral_star,purple
20.0,right,,106,circle,green
,forward,100.0,121,flower,blue
45.0,left,,5,flower,blue
,forward,80.0,16,spiral_star,yellow
,forward,80.0,10,star,red
123.0,left,,67,twirl,red
,forward,100.0,54,flower,red
,forward,100.0,2,box_flower,brown
,forward,150.0,42,twirl,yellow
135.0,left,,133,flower,green
20.0,left,,116,box_flower,blue
20.0,right,,98,circle,purple
,forward,100.0,54,box_flower,black
90.0,left,,149,box_flower,red
90.0,left,,82,box_flower,black
,forward,100.0,56,box_flower,brown
144.0,right,,57,spiral_star,black
90.0,left,,37,box_flower,red
90.0,left,,68,box_flower,yellow
123.0,left,,57,twirl,brown
45.0,left,,149,flower,green
90.0,left,,88,box_flower,yellow
135.0,left,,84,flower,yellow
,forward,100.0,119,flower,green
90.0,left,,151,box_flower,blue
20.0,left,,134,box_flower,purple
45.0,left,,68,flower,red
90.0,left,,32,box_flower,red
,forward,80.0,2,star,brown
,forward,25.0,85,circle,green
135.0,left,,106,flower,yellow
120.0,right,,5,star,blue
-48.0,right,,11,star,black
,forward,100.0,130,flower,yellow
,forward,150.0,26,twirl,yellow
,forward,100.0,99,flower,yellow
,forward,100.0,24,box_flower,purple
,forward,100.0,123,box_flower,green
,forward,150.0,98,twirl,purple
,forward,150.0,10,twirl,purple
123.0,left,,39,twirl,red
135.0,left,,106,flower,brown
123.0,left,,81,twirl,red
,forward,25.0,87,circle,black
135.0,left,,88,flower,yellow
,forward,100.0,90,flower,green
,forward,100.0,33,box_flower,yellow
,forward,100.0,18,flower,purple
90.0,left,,118,box_flower,yellow
,forward,100.0,15,box_flower,blue
,forward,100.0,108,flower,red
,forward,100.0,6,box,purple
,forward,100.0,58,box_flower,blue
20.0,left,,35,box_flower,black
144.0,right,,41,spiral_star,black
,forward,25.0,97,circle,green
,forward,25.0,103,circle,black
,forward,100.0,92,box_flower,green
,forward,100.0,155,flower,yellow
90.0,left,,46,box_flower,black
90.0,left,,1,box,black
,forward,150.0,48,twirl,black
20.0,left,,134,box_flower,blue
,forward,100.0,13,box_flower,black
135.0,left,,120,flower,black
135.0,left,,93,flower,blue
,forward,80.0,8,star,brown
90.0,left,,95,box_flower,yellow
,forward,10.0,2,spiral_star,yellow
45.0,left,,46,flower,red
90.0,left,,1,box_flower,red
144.0,right,,57,spiral_star,blue
144.0,right,,43,spiral_star,red
135.0,left,,115,flower,red
123.0,left,,39,twirl,purple
20.0,left,,71,flower,yellow
90.0,left,,55,box_flower,brown
,forward,100.0,4,box_flower,green
20.0,right,,102,circle,black
,forward,100.0,24,box_flower,blue
,forward,25.0,91,circle,black
,forward,100.0,60,flower,yellow
,forward,100.0,101,box_flower,purple
135.0,left,,16,flower,blue
90.0,left,,3,box_flower,green
120.0,right,,13,star,red
45.0,left,,55,flower,black
90.0,left,,82,box_flower,brown
,forward,100.0,137,flower,brown
144.0,right,,45,spiral_star,red
123.0,left,,53,twirl,green
,forward,100.0,4,flower,green
90.0,left,,3,box_flower,black
,forward,100.0,69,box_flower,green
144.0,right,,55,spiral_star,blue
90.0,left,,113,box_flower,green
,forward,150.0,28,twirl,yellow
,forward,100.0,40,box_flower,brown
,forward,210.0,42,spiral_star,black
90.0,left,,145,box_flower,blue
135.0,left,,66,flower,yellow
20.0,right,,106,circle,yellow
45.0,left,,100,flower,blue
90.0,left,,86,box_flower,black
90.0,left,,109,box_flower,brown
45.0,left,,91,flower,brown
90.0,left,,59,box_flower,red
123.0,left,,97,twirl,blue
,forward,100.0,144,flower,red
90.0,left,,70,box_flower,blue
123.0,left,,43,twirl,black
90.0,left,,61,box_flower,yellow
,forward,100.0,101,flower,yellow
45.0,left,,154,flower,blue
120.0,right,,17,star,brown
144.0,right,,33,spiral_star,yellow
90.0,left,,73,box_flower,yellow
20.0,right,,86,circle,yellow
90.0,left,,138,box_flower,black
135.0,left,,84,flower,red
45.0,left,,5,flower,purple
135.0,left,,48,flower,yellow
,forward,100.0,144,box_flower,yellow
144.0,right,,61,spiral_star,purple
20.0,left,,26,flower,purple
90.0,left,,158,box_flower,blue
,forward,100.0,54,box_flower,yellow
,forward,100.0,15,flower,green
20.0,left,,143,flower,blue
,forward,180.0,36,spiral_star,black
,forward,100.0,42,box_flower,green
,forward,100.0,90,flower,yellow
90.0,left,,151,box_flower,purple
,forward,100.0,94,flower,blue
90.0,left,,136,box_flower,blue
,forward,100.0,74,flower,green
123.0,left,,29,twirl,red
,forward,100.0,6,flower,brown
,forward,150.0,6,twirl,yellow
90.0,left,,23,box_flower,yellow
,forward,70.0,14,spiral_star,yellow
,forward,100.0,13,flower,purple
,forward,150.0,50,twirl,brown
144.0,right,,67,spiral_star,yellow
20.0,left,,143,box_flower,red
,forward,100.0,135,flower,black
-48.0,right,,3,star,green
,forward,100.0,94,flower,black
,forward,25.0,87,circle,yellow
144.0,right,,11,spiral_star,red
90.0,left,,118,box_flower,green
,forward,100.0,117,flower,blue
,forward,290.0,58,spiral_star,yellow
90.0,left,,95,box_flower,black
20.0,left,,89,flower,purple
,forward,100.0,4,flower,purple
,forward,100.0,135,box_flower,purple
90.0,left,,109,box_flower,black
120.0,right,,17,star,red
,forward,150.0,54,twirl,yellow
,forward,100.0,81,flower,purple
90.0,left,,14,box_flower,brown
135.0,left,,3,flower,green
123.0,left,,53,twirl,brown
,forward,100.0,110,flower,blue
90.0,left,,124,box_flower,red
,forward,100.0,67,flower,blue
,forward,280.0,56,spiral_star,black
,forward,25.0,81,circle,purple
123.0,left,,25,twirl,brown
20.0,left,,152,box_flower,blue
,forward,100.0,27,flower,red
,forward,100.0,81,box_flower,red
45.0,left,,77,flower,blue
,forward,340.0,68,spiral_star,brown
,forward,40.0,8,spiral_star,black
,forward,100.0,101,box_flower,blue
,forward,150.0,50,twirl,blue
,forward,150.0,2,twirl,green
20.0,left,,125,flower,green
,forward,100.0,63,box_flower,purple
135.0,left,,21,flower,brown
,forward,100.0,58,box_flower,black
,forward,40.0,8,spiral_star,brown
,forward,100.0,105,box_flower,purple
90.0,left,,5,box_flower,blue
-48.0,right,,11,star,brown
45.0,left,,91,flower,green
,forward,100.0,157,flower,blue
,forward,100.0,49,flower,brown
,forward,150.0,82,twirl,black
135.0,left,,156,flower,yellow
,forward,150.0,8,twirl,brown
,forward,100.0,63,box_flower,blue
90.0,left,,25,box_flower,blue
,forward,100.0,157,box_flower,green
123.0,left,,41,twirl,brown
,forward,150.0,24,twirl,black
90.0,left,,7,box,purple
,forward,100.0,65,box_flower,blue
45.0,left,,19,flower,brown
90.0,left,,147,box_flower,blue
20.0,left,,89,flower,black
,forward,100.0,40,flower,purple
20.0,left,,44,box_flower,green
135.0,left,,70,flower,brown
135.0,left,,142,flower,yellow
,forward,150.0,12,twirl,black
,forward,100.0,22,flower,green
90.0,left,,41,box_flower,yellow
20.0,left,,134,box_flower,black
135.0,left,,133,flower,yellow
123.0,left,,25,twirl,purple
90.0,left,,3,box_flower,purple
,forward,30.0,6,spiral_star,red
,forward,150.0,4,twirl,blue
,forward,25.0,75,circle,purple
,forward,150.0,30,twirl,red
45.0,left,,28,flower,yellow
123.0,left,,85,twirl,brown
135.0,left,,12,flower,black
,forward,50.0,10,spiral_star,red
90.0,left,,75,box_flower,green
20.0,left,,80,box_flower,yellow
45.0,left,,109,flower,purple
,forward,150.0,26,twirl,purple
,forward,100.0,2,flower,red
90.0,left,,122,box_flower,blue
-48.0,right,,7,star,green
,forward,150.0,32,twirl,black
,forward,150.0,28,twirl,green
,forward,100.0,157,flower,yellow
45.0,left,,95,flower,green
,forward,150.0,98,twirl,brown
,forward,100.0,83,box_flower,purple
,forward,100.0,74,flower,purple
,forward,100.0,15,flower,red
,forward,150.0,48,twirl,purple
,forward,100.0,155,box_flower,purple
20.0,left,,17,flower,green
,forward,100.0,2,box_flower,red
135.0,left,,147,flower,red
20.0,left,,143,flower,black
,forward,100.0,76,box_flower,yellow
,forward,320.0,64,spiral_star,green
135.0,left,,61,flower,black
,forward,100.0,99,flower,green
,forward,100.0,78,flower,red
,forward,100.0,58,flower,black
135.0,left,,57,flower,blue
45.0,left,,118,flower,yellow
,forward,100.0,20,flower,red
20.0,right,,98,circle,black
45.0,left,,122,flower,black
,forward,150.0,92,twirl,blue
135.0,left,,138,flower,yellow
,forward,100.0,58,box_flower,yellow
,forward,100.0,20,box_flower,red
,forward,150.0,84,twirl,green
45.0,left,,145,flower,green
135.0,left,,142,flower,blue
123.0,left,,37,twirl,brown
,forward,100.0,60,flower,black
,forward,100.0,38,flower,brown
123.0,left,,21,twirl,red
,forward,100.0,90,box_flower,blue
,forward,30.0,6,spiral_star,brown
,forward,150.0,86,twirl,brown
135.0,left,,57,flower,yellow
135.0,left,,79,flower,brown
,forward,100.0,92,flower,brown
,forward,100.0,150,box_flower,green
45.0,left,,10,flower,yellow
,forward,150.0,4,twirl,red
,forward,100.0,65,box_flower,black
,forward,250.0,50,spiral_star,red
45.0,left,,145,flower,brown
90.0,left,,28,box_flower,brown
,forward,80.0,16,spiral_star,green
20.0,left,,62,flower,red
,forward,190.0,38,spiral_star,brown
90.0,left,,7,box_flower,blue
135.0,left,,61,flower,red
,forward,100.0,49,flower,purple
20.0,left,,8,box_flower,yellow
,forward,210.0,42,spiral_star,purple
90.0,left,,5,box_flower,red
123.0,left,,85,twirl,yellow
90.0,left,,138,box_flower,brown
,forward,80.0,14,star,yellow
,forward,80.0,2,star,red
20.0,left,,35,flower,red
135.0,left,,156,flower,green
,forward,100.0,78,box_flower,red
123.0,left,,57,twirl,red
90.0,left,,93,box_flower,green
,forward,100.0,159,flower,blue
45.0,left,,113,flower,yellow
144.0,right,,59,spiral_star,blue
135.0,left,,66,flower,blue
,forward,150.0,56,twirl,red
,forward,100.0,105,flower,green
45.0,left,,100,flower,purple
123.0,left,,21,twirl,blue
,forward,100.0,135,box_flower,red
123.0,left,,67,twirl,green
144.0,right,,63,spiral_star,blue
,forward,100.0,74,flower,brown
,forward,100.0,144,box_flower,brown
90.0,left,,16,box_flower,black
123.0,left,,49,twirl,brown
90.0,left,,32,box_flower,black
123.0,left,,91,twirl,black
123.0,left,,75,twirl,blue
,forward,260.0,52,spiral_star,yellow
135.0,left,,111,flower,black
90.0,left,,52,box_flower,blue
90.0,left,,7,box_flower,green
,forward,150.0,2,twirl,black
,forward,100.0,31,box_flower,green
123.0,left,,23,twirl,brown
,forward,80.0,4,star,black
45.0,left,,136,flower,green
20.0,left,,161,box_flower,black
90.0,left,,120,box_flower,brown
90.0,left,,7,box,black
123.0,left,,63,twirl,black
,forward,100.0,148,box_flower,blue
135.0,left,,133,flower,black
20.0,left,,152,flower,green
,forward,160.0,32,spiral_star,red
144.0,right,,61,spiral_star,blue
,forward,25.0,81,circle,blue
,forward,150.0,10,twirl,blue
,forward,100.0,114,box_flower,brown
,forward,100.0,126,flower,brown
20.0,right,,74,circle,black
,forward,200.0,40,spiral_star,purple
,forward,100.0,51,flower,yellow
135.0,left,,138,flower,black
123.0,left,,37,twirl,black
,forward,25.0,81,circle,brown
,forward,100.0,150,flower,yellow
120.0,right,,1,star,red
45.0,left,,50,flower,red
135.0,left,,12,flower,yellow
90.0,left,,34,box_flower,black
123.0,left,,31,twirl,blue
-48.0,right,,7,star,blue
,forward,150.0,70,twirl,red
,forward,25.0,93,circle,green
,forward,100.0,123,flower,purple
90.0,left,,93,box_flower,black
123.0,left,,15,twirl,green
,forward,100.0,4,box,brown
,forward,100.0,72,flower,purple
45.0,left,,86,flower,black
,forward,120.0,24,spiral_star,brown
123.0,left,,79,twirl,yellow
144.0,right,,59,spiral_star,brown
123.0,left,,97,twirl,purple
90.0,left,,25,box_flower,yellow
20.0,right,,82,circle,blue
,forward,190.0,38,spiral_star,green
135.0,left,,12,flower,red
,forward,100.0,60,box_flower,brown
,forward,25.0,73,circle,blue
120.0,right,,1,star,blue
20.0,right,,102,circle,blue
45.0,left,,113,flower,brown
,forward,100.0,47,flower,red
144.0,right,,23,spiral_star,red
20.0,right,,96,circle,blue
,forward,310.0,62,spiral_star,blue
,forward,100.0,42,flower,red
123.0,left,,89,twirl,brown
90.0,left,,145,box_flower,red
90.0,left,,75,box_flower,red
45.0,left,,37,flower,blue
,forward,150.0,94,twirl,brown
90.0,left,,156,box_flower,red
,forward,100.0,67,flower,red
90.0,left,,55,box_flower,red
135.0,left,,30,flower,black
,forward,100.0,0,box,black
45.0,left,,95,flower,yellow
,forward,100.0,96,flower,yellow
-48.0,right,,11,star,red
20.0,left,,62,box_flower,red
135.0,left,,133,flower,red
,forward,0.0,0,spiral_star,purple
,forward,150.0,30,twirl,green
123.0,left,,81,twirl,purple
,forward,150.0,54,twirl,black
123.0,left,,75,twirl,red
45.0,left,,19,flower,blue
,forward,100.0,85,box_flower,purple
123.0,left,,59,twirl,black
,forward,100.0,18,box_flower,black
,forward,120.0,24,spiral_star,red
120.0,right,,5,star,green
,forward,150.0,32,twirl,green
90.0,left,,23,box_flower,red
,forward,25.0,77,circle,brown
,forward,150.0,38,twirl,purple
-48.0,right,,19,star,green
,forward,100.0,132,box_flower,yellow
,forward,100.0,123,box_flower,black
123.0,left,,87,twirl,brown
90.0,left,,106,box_flower,purple
144.0,right,,23,spiral_star,black
20.0,left,,98,flower,purple
90.0,left,,21,box_flower,blue
,forward,100.0,22,flower,blue
90.0,left,,10,box_flower,blue
135.0,left,,147,flower,yellow
,forward,100.0,96,flower,brown
123.0,left,,7,twirl,black
20.0,left,,8,flower,black
,forward,150.0,96,twirl,yellow
,forward,200.0,40,spiral_star,blue
,forward,150.0,18,twirl,yellow
135.0,left,,25,flower,black
,forward,100.0,47,box_flower,green
20.0,left,,71,flower,brown
20.0,left,,80,flower,purple
144.0,right,,59,spiral_star,yellow
,forward,300.0,60,spiral_star,green
,forward,25.0,97,circle,brown
20.0,left,,89,box_flower,yellow
45.0,left,,145,flower,yellow
135.0,left,,30,flower,green
,forward,100.0,15,flower,purple
-48.0,right,,3,star,brown
,forward,100.0,24,flower,blue
20.0,left,,134,flower,green
20.0,left,,71,flower,red
20.0,right,,96,circle,yellow
,forward,100.0,103,flower,red
120.0,right,,5,star,yellow
,forward,100.0,51,flower,red
135.0,left,,129,flower,blue
,forward,100.0,15,flower,yellow
90.0,left,,88,box_flower,blue
90.0,left,,133,box_flower,brown
,forward,130.0,26,spiral_star,black
,forward,100.0,83,box_flower,yellow
,forward,100.0,130,box_flower,purple
,forward,100.0,126,flower,green
144.0,right,,49,spiral_star,red
20.0,left,,107,box_flower,red
,forward,25.0,81,circle,yellow
,forward,250.0,50,spiral_star,black
,forward,100.0,76,flower,purple
123.0,left,,55,twirl,brown
,forward,100.0,38,flower,green
45.0,left,,77,flower,purple
-48.0,right,,19,star,brown
-48.0,right,,7,star,yellow
,forward,100.0,139,box_flower,blue
144.0,right,,7,spiral_star,black
90.0,left,,122,box_flower,green
90.0,left,,1,box_flower,black
,forward,100.0,159,box_flower,brown
135.0,left,,34,flower,yellow
90.0,left,,30,box_flower,blue
123.0,left,,9,twirl,black
123.0,left,,7,twirl,purple
144.0,right,,11,spiral_star,brown
,forward,100.0,24,box_flower,red
144.0,right,,61,spiral_star,yellow
90.0,left,,100,box_flower,blue
90.0,left,,138,box_flower,red
20.0,left,,107,box_flower,green
144.0,right,,59,spiral_star,black
,forward,100.0,130,flower,blue
123.0,left,,85,twirl,black
123.0,left,,89,twirl,yellow
144.0,right,,39,spiral_star,yellow
-48.0,right,,3,star,purple
135.0,left,,16,flower,black
135.0,left,,39,flower,blue
90.0,left,,73,box_flower,black
90.0,left,,158,box_flower,yellow
,forward,150.0,18,twirl,green
20.0,left,,134,flower,black
,forward,100.0,33,flower,brown
144.0,right,,29,spiral_star,brown
,forward,270.0,54,spiral_star,yellow
144.0,right,,9,spiral_star,red
,forward,100.0,38,box_flower,red
,forward,100.0,76,flower,red
,forward,150.0,12,twirl,green
144.0,right,,21,spiral_star,yellow
,forward,280.0,56,spiral_star,brown
,forward,100.0,94,box_flower,yellow
20.0,right,,104,circle,brown
20.0,right,,100,circle,brown
,forward,280.0,56,spiral_star,red
20.0,left,,26,box_flower,green
45.0,left,,73,flower,brown
,forward,150.0,66,twirl,green
90.0,left,,7,box_flower,red
90.0,left,,131,box_flower,blue
90.0,left,,93,box_flower,yellow
,forward,100.0,130,box_flower,blue
,forward,25.0,105,circle,brown
,forward,100.0,99,box_flower,black
,forward,100.0,83,box_flower,brown
,forward,100.0,56,flower,purple
123.0,left,,21,twirl,black
20.0,right,,100,circle,purple
,forward,80.0,16,spiral_star,red
,forward,100.0,63,flower,red
120.0,right,,17,star,blue
,forward,150.0,22,twirl,brown
,forward,150.0,40,twirl,blue
,forward,25.0,103,circle,purple
,forward,220.0,44,spiral_star,purple
,forward,100.0,47,box_flower,brown
144.0,right,,65,spiral_star,brown
123.0,left,,31,twirl,green
135.0,left,,151,flower,black
,forward,80.0,0,star,green
90.0,left,,84,box_flower,brown
123.0,left,,5,twirl,green
,forward,250.0,50,spiral_star,brown
20.0,left,,134,flower,brown
90.0,left,,142,box_flower,green
123.0,left,,49,twirl,blue
20.0,left,,35,flower,blue
90.0,left,,16,box_flower,brown
90.0,left,,142,box_flower,black
,forward,150.0,76,twirl,yellow
144.0,right,,45,spiral_star,black
90.0,left,,82,box_flower,red
90.0,left,,109,box_flower,red
,forward,100.0,6,box,red
90.0,left,,41,box_flower,blue
90.0,left,,61,box_flower,black
,forward,150.0,46,twirl,red
45.0,left,,86,flower,red
90.0,left,,79,box_flower,green
,forward,50.0,10,spiral_star,yellow
,forward,25.0,77,circle,black
,forward,100.0,6,box,blue
,forward,150.0,82,twirl,green
,forward,25.0,73,circle,brown
,forward,100.0,157,box_flower,brown
20.0,left,,116,flower,brown
90.0,left,,3,box,red
123.0,left,,65,twirl,green
,forward,100.0,33,flower,blue
90.0,left,,88,box_flower,purple
,forward,100.0,87,box_flower,brown
90.0,left,,23,box_flower,black
20.0,left,,8,flower,green
45.0,left,,131,flower,brown
,forward,170.0,34,spiral_star,purple
123.0,left,,13,twirl,purple
,forward,150.0,70,twirl,black
90.0,left,,97,box_flower,purple
,forward,100.0,105,box_flower,blue
,forward,80.0,4,star,brown
135.0,left,,115,flower,green
123.0,left,,47,twirl,yellow
123.0,left,,27,twirl,red
123.0,left,,25,twirl,yellow
90.0,left,,149,box_flower,blue
,forward,25.0,83,circle,green
,forward,100.0,157,box_flower,blue
,forward,25.0,105,circle,black
,forward,100.0,87,box_flower,yellow
,forward,270.0,54,spiral_star,purple
123.0,left,,41,twirl,red
,forward,150.0,38,twirl,black
,forward,80.0,0,star,yellow
90.0,left,,77,box_flower,purple
,forward,90.0,18,spiral_star,green
20.0,left,,53,box_flower,red
,forward,100.0,112,flower,black
20.0,right,,74,circle,yellow
135.0,left,,120,flower,blue
123.0,left,,3,twirl,brown
90.0,left,,84,box_flower,green
90.0,left,,52,box_flower,green
,forward,150.0,18,twirl,black
,forward,90.0,18,spiral_star,black
,forward,25.0,103,circle,blue
20.0,left,,98,box_flower,purple
,forward,100.0,65,flower,yellow
123.0,left,,29,twirl,brown
90.0,left,,32,box_flower,green
,forward,100.0,47,flower,brown
144.0,right,,21,spiral_star,red
,forward,100.0,4,box_flower,brown
,forward,100.0,47,box_flower,black
45.0,left,,118,flower,blue
-48.0,right,,15,star,purple
144.0,right,,21,spiral_star,blue
,forward,100.0,114,flower,green
,forward,100.0,42,box_flower,blue
45.0,left,,91,flower,purple
,forward,100.0,24,flower,brown
,forward,100.0,135,box_flower,blue
135.0,left,,25,flower,brown
144.0,right,,63,spiral_star,red
45.0,left,,55,flower,yellow
20.0,left,,53,box_flower,blue
,forward,100.0,101,flower,brown
,forward,25.0,79,circle,brown
90.0,left,,106,box_flower,red
,forward,100.0,96,box_flower,brown
,forward,100.0,85,flower,black
,forward,25.0,101,circle,brown
45.0,left,,14,flower,red
135.0,left,,30,flower,purple
123.0,left,,75,twirl,purple
90.0,left,,79,box_flower,purple
,forward,100.0,22,box_flower,brown
,forward,100.0,114,box_flower,yellow
90.0,left,,12,box_flower,brown
,forward,150.0,30,twirl,yellow
90.0,left,,30,box_flower,black
,forward,100.0,85,box_flower,green
,forward,310.0,62,spiral_star,purple
,forward,100.0,87,flower,yellow
20.0,left,,125,box_flower,yellow
90.0,left,,23,box_flower,brown
,forward,100.0,101,flower,purple
135.0,left,,43,flower,red
,forward,100.0,132,box_flower,red
123.0,left,,51,twirl,blue
20.0,left,,35,flower,green
90.0,left,,154,box_flower,purple
90.0,left,,12,box_flower,blue
,forward,100.0,2,box_flower,green
,forward,100.0,0,box_flower,blue
,forward,100.0,117,box_flower,black
,forward,100.0,112,flower,green
90.0,left,,19,box_flower,brown
,forward,100.0,81,flower,brown
,forward,100.0,114,flower,black
,forward,80.0,6,star,blue
,forward,100.0,155,box_flower,brown
,forward,25.0,77,circle,blue
,forward,210.0,42,spiral_star,red
,forward,100.0,103,box_flower,blue
135.0,left,,3,flower,yellow
20.0,left,,134,box_flower,brown
123.0,left,,37,twirl,red
,forward,150.0,46,twirl,purple
45.0,left,,68,flower,purple
,forward,100.0,83,flower,purple
,forward,100.0,9,box_flower,blue
135.0,left,,66,flower,brown
45.0,left,,140,flower,green
90.0,left,,118,box_flower,brown
45.0,left,,104,flower,green
144.0,right,,15,spiral_star,purple
20.0,right,,98,circle,green
135.0,left,,84,flower,purple
45.0,left,,104,flower,purple
135.0,left,,151,flower,purple
123.0,left,,35,twirl,yellow
123.0,left,,17,twirl,yellow
90.0,left,,34,box_flower,blue
,forward,100.0,144,flower,blue
,forward,100.0,108,flower,blue
,forward,40.0,8,spiral_star,yellow
,forward,100.0,94,box_flower,black
,forward,100.0,33,box_flower,black
135.0,left,,75,flower,brown
,forward,100.0,78,flower,purple
20.0,left,,53,flower,brown
90.0,left,,10,box_flower,brown
,forward,100.0,85,flower,yellow
135.0,left,,21,flower,yellow
,forward,150.0,44,twirl,red
,forward,100.0,99,box_flower,brown
20.0,left,,17,box_flower,red
,forward,100.0,36,box_flower,black
90.0,left,,73,box_flower,green
135.0,left,,124,flower,black
,forward,150.0,2,twirl,blue
,forward,25.0,87,circle,red
,forward,100.0,144,flower,purple
90.0,left,,19,box_flower,green
45.0,left,,73,flower,black
,forward,100.0,58,box_flower,red
45.0,left,,28,flower,blue
90.0,left,,82,box_flower,yellow
90.0,left,,28,box_flower,green
,forward,150.0,18,twirl,purple
20.0,right,,106,circle,brown
,forward,100.0,38,box_flower,blue
45.0,left,,118,flower,black
,forward,0.0,0,spiral_star,yellow
90.0,left,,104,box_flower,black
45.0,left,,131,flower,blue
,forward,160.0,32,spiral_star,blue
